Município;Taxa_de_desemprego_16a_e+;População_desocupada_16a_e+;População_econom_ativa_16a_e+
250920 MASSARANDUBA;6,8;333;4899
250930 MATARACA;13,45;313;2327
250933 MATINHAS;4,29;73;1700
250937 MATO GROSSO;6,63;60;905
250939 MATUREIA;6,04;142;2351
250940 MOGEIRO;11,04;491;4447
250950 MONTADAS;3,36;77;2289
250960 MONTE HOREBE;6,76;116;1716
250970 MONTEIRO;4,55;602;13242
250980 MULUNGU;12,66;417;3293
250990 NATUBA;4,64;174;3752
251000 NAZAREZINHO;5,6;117;2090
251010 NOVA FLORESTA;5,48;229;4178
251020 NOVA OLINDA;10,46;203;1940
251030 NOVA PALMEIRA;1,74;34;1954
251040 OLHO D'AGUA;5,46;120;2196
251050 OLIVEDOS;10,72;104;970
251060 OURO VELHO;5,55;68;1226
251065 PARARI;5,32;29;545
251070 PASSAGEM;7,59;53;698
251080 PATOS;8,4;3739;44488
251090 PAULISTA;3,8;193;5076
251100 PEDRA BRANCA;19,14;187;977
251110 PEDRA LAVRADA;5,69;198;3478
251120 PEDRAS DE FOGO;10,09;1069;10596
251130 PIANCO;8,12;492;6057
251140 PICUI;5,61;415;7401
251150 PILAR;9,05;358;3956
251160 PILOES;6,49;183;2819
251170 PILOEZINHOS;3,71;78;2102
251180 PIRPIRITUBA;9,95;363;3647
251190 PITIMBU;6,64;435;6556
251200 POCINHOS;8,59;590;6867
251203 POCO DANTAS;2,45;30;1226
251207 POCO DE JOSE DE MOURA;4,47;71;1587
251210 POMBAL;7,47;942;12615
251220 PRATA;6,91;114;1650
251230 PRINCESA ISABEL;6,51;582;8941
251240 PUXINANA;4,2;250;5948
251250 QUEIMADAS;8,09;1381;17061
251260 QUIXABA;13,33;98;735
251270 REMIGIO;6,06;408;6732
251272 PEDRO REGIS;5,27;91;1727
251274 RIACHAO;3,48;28;805
251275 RIACHAO DO BACAMARTE;7,7;129;1676
251276 RIACHAO DO POCO;4;74;1850
251278 RIACHO DE SANTO ANTONIO;5,91;46;778
251280 RIACHO DOS CAVALOS;4,85;171;3528
251290 RIO TINTO;10,58;909;8595
251300 SALGADINHO;5,25;68;1295
251310 SALGADO DE SAO FELIX;7,68;315;4101
251315 SANTA CECILIA;1,45;46;3177
251320 SANTA CRUZ;3,95;86;2178
251330 SANTA HELENA;13,68;278;2032
251335 SANTA INES;13,82;193;1397
251340 SANTA LUZIA;7,68;461;5999
251350 SANTANA DE MANGUEIRA;5,77;85;1473
251360 SANTANA DOS GARROTES;7,23;188;2601
251365 JOCA CLAUDINO;2,27;21;926
251370 SANTA RITA;11,31;5331;47139
251380 SANTA TERESINHA;6,91;92;1332
251385 SANTO ANDRE;4,31;61;1415
251390 SAO BENTO;2,65;392;14771
251392 SAO BENTINHO;6,58;96;1458
251394 SAO DOMINGOS DO CARIRI;4,55;50;1099
251396 SAO DOMINGOS;6,05;69;1141
251398 SAO FRANCISCO;4,75;59;1242
251400 SAO JOAO DO CARIRI;5,52;100;1810
251410 SAO JOAO DO TIGRE;2,21;40;1806
251420 SAO JOSE DA LAGOA TAPADA;5,52;143;2590
251430 SAO JOSE DE CAIANA;3,35;71;2117
251440 SAO JOSE DE ESPINHARAS;2,56;40;1560
251445 SAO JOSE DOS RAMOS;4,46;90;2016
251450 SAO JOSE DE PIRANHAS;6,83;485;7104
251455 SAO JOSE DE PRINCESA;4,55;62;1364
251460 SAO JOSE DO BONFIM;7,1;74;1042
251465 SAO JOSE DO BREJO DO CRUZ;16,06;101;629
251470 SAO JOSE DO SABUGI;2,75;46;1674
251480 SAO JOSE DOS CORDEIROS;3,17;53;1674
251490 SAO MAMEDE;6,33;179;2830
251500 SAO MIGUEL DE TAIPU;2,97;73;2455
251510 SAO SEBASTIAO DE LAGOA DE ROCA;6,87;348;5068
251520 SAO SEBASTIAO DO UMBUZEIRO;7,46;123;1648
251530 SAPE;13,09;2274;17370
251540 SAO VICENTE DO SERIDO;6,52;265;4067
251550 SERRA BRANCA;6,61;369;5582
251560 SERRA DA RAIZ;7,82;103;1317
251570 SERRA GRANDE;5,87;70;1193
251580 SERRA REDONDA;5,31;153;2884
251590 SERRARIA;4,59;105;2288
251593 SERTAOZINHO;4,67;75;1607
251597 SOBRADO;7,09;209;2947
251600 SOLANEA;7,11;701;9856
251610 SOLEDADE;5,23;298;5700
251615 SOSSEGO;2,02;26;1286
251620 SOUSA;9,75;2742;28128
251630 SUME;8,03;590;7345
251640 TACIMA;9,81;291;2966
251650 TAPEROA;7,98;478;5991
251660 TAVARES;6,44;314;4873
251670 TEIXEIRA;6,21;347;5589
251675 TENORIO;6,13;65;1061
251680 TRIUNFO;7,52;256;3402
251690 UIRAUNA;6,16;342;5549
251700 UMBUZEIRO;3,95;155;3924
251710 VARZEA;5,76;71;1233
251720 VIEIROPOLIS;9,19;141;1535
251740 ZABELE;7,85;82;1044
260005 ABREU E LIMA;17,97;7541;41976
260010 AFOGADOS DA INGAZEIRA;7,59;1127;14847
260020 AFRANIO;6,2;421;6790
260030 AGRESTINA;6,46;549;8502
260040 AGUA PRETA;21,19;1779;8397
260050 AGUAS BELAS;6,55;978;14936
260060 ALAGOINHA;5,52;322;5832
260070 ALIANCA;16,68;1946;11664
260080 ALTINHO;4,67;407;8706
260090 AMARAJI;10,89;896;8228
260100 ANGELIM;4,27;161;3773
260105 ARACOIABA;22,89;1446;6317
260110 ARARIPINA;5,4;1739;32178
260120 ARCOVERDE;10,86;3028;27880
260130 BARRA DE GUABIRABA;8,32;339;4074
260140 BARREIROS;17,93;2025;11292
260150 BELEM DE MARIA;9,38;361;3848
260160 BELEM DE SAO FRANCISCO;7,26;623;8586
260170 BELO JARDIM;9,3;2885;31035
260180 BETANIA;3,59;128;3570
260190 BEZERROS;9,17;2188;23857
260200 BODOCO;6,07;811;13359
260210 BOM CONSELHO;8,04;1443;17956
260220 BOM JARDIM;5,63;796;14126
260230 BONITO;11,34;1372;12099
260240 BREJAO;7,93;276;3480
260250 BREJINHO;6,89;189;2742
260260 BREJO DA MADRE DE DEUS;4,9;986;20129
260270 BUENOS AIRES;11,04;524;4745
260280 BUIQUE;7,26;1200;16522
260290 CABO DE SANTO AGOSTINHO;16,77;13347;79600
260300 CABROBO;10,19;1255;12310
260310 CACHOEIRINHA;5,55;409;7373
260320 CAETES;2,9;281;9674
260330 CALCADO;1,79;92;5137
260340 CALUMBI;9,91;197;1987
260345 CAMARAGIBE;14,61;9371;64134
260350 CAMOCIM DE SAO FELIX;10,18;602;5915
260360 CAMUTANGA;12,29;383;3117
260370 CANHOTINHO;4,86;407;8367
260380 CAPOEIRAS;3,6;312;8658
260390 CARNAIBA;6,37;435;6831
260392 CARNAUBEIRA DA PENHA;7,82;296;3783
260400 CARPINA;11,98;3615;30166
260410 CARUARU;6,7;10261;153116
260415 CASINHAS;9,01;448;4971
260420 CATENDE;16,23;1821;11220
260430 CEDRO;6,01;246;4090
260440 CHA DE ALEGRIA;18,45;783;4244
260450 CHA GRANDE;8,2;637;7773
260460 CONDADO;14,82;1174;7924
260470 CORRENTES;4,92;291;5909
260480 CORTES;6,6;225;3408
260490 CUMARU;7,22;488;6761
260500 CUPIRA;5,78;566;9787
260510 CUSTODIA;7,6;965;12699
260515 DORMENTES;2,96;224;7557
260520 ESCADA;16,58;3875;23370
260530 EXU;7,19;809;11246
260540 FEIRA NOVA;8,75;714;8159
260545 FERNANDO DE NORONHA;3;39;1299
260550 FERREIROS;10,8;467;4323
260560 FLORES;5,37;399;7427
260570 FLORESTA;8,16;1023;12532
260580 FREI MIGUELINHO;3,88;223;5741
260590 GAMELEIRA;13,12;1048;7987
260600 GARANHUNS;11,02;6004;54493
260610 GLORIA DO GOITA;6,89;859;12462
260620 GOIANA;15,33;4506;29395
260630 GRANITO;3,19;67;2102
260640 GRAVATA;10,16;3267;32144
260650 IATI;4,89;313;6407
260660 IBIMIRIM;7,44;700;9409
260670 IBIRAJUBA;1,91;56;2932
260680 IGARASSU;16,92;7253;42858
260690 IGUARACY;7,81;353;4517
260700 INAJA;7,39;471;6376
260710 INGAZEIRA;6,87;134;1950
260720 IPOJUCA;14,56;4721;32423
260730 IPUBI;9,74;1053;10809
260740 ITACURUBA;16,89;318;1883
260750 ITAIBA;4,22;413;9798
260760 ILHA DE ITAMARACA;14,12;1031;7301
260765 ITAMBE;14,45;1760;12184
260770 ITAPETIM;5,62;349;6212
260775 ITAPISSUMA;12,41;1098;8848
260780 ITAQUITINGA;16,61;916;5514
260790 JABOATAO DOS GUARARAPES;13,48;39489;292992
260795 JAQUEIRA;17,6;535;3039
260800 JATAUBA;3,94;273;6927
260805 JATOBA;9,95;553;5559
260810 JOAO ALFREDO;5,55;625;11257
260820 JOAQUIM NABUCO;13,84;680;4912
260825 JUCATI;1,51;80;5314
260830 JUPI;3,17;207;6534
260840 JUREMA;4,18;232;5554
260845 LAGOA DO CARRO;8,05;498;6189
260850 LAGOA DE ITAENGA;11,5;895;7781
260860 LAGOA DO OURO;7,37;370;5023
260870 LAGOA DOS GATOS;5,02;312;6213
260875 LAGOA GRANDE;11,1;1054;9496
260880 LAJEDO;5,55;874;15741
260890 LIMOEIRO;9,18;2045;22282
260900 MACAPARANA;10,4;918;8829
260910 MACHADOS;7,29;283;3882
260915 MANARI;5,08;439;8641
260920 MARAIAL;9,48;361;3810
260930 MIRANDIBA;8,21;337;4105
260940 MORENO;18,1;3946;21800
260950 NAZARE DA MATA;12,48;1373;11002
260960 OLINDA;13,01;22456;172662
260970 OROBO;6,85;575;8392
260980 OROCO;5,73;326;5693
260990 OURICURI;8,69;1940;22332
261000 PALMARES;16,6;3254;19599
261010 PALMEIRINA;13,36;390;2920
261020 PANELAS;6,03;604;10021
261030 PARANATAMA;2,84;104;3661
261040 PARNAMIRIM;9,74;647;6644
261050 PASSIRA;8,57;891;10394
261060 PAUDALHO;14,68;2714;18486
261070 PAULISTA;14,36;20072;139819
261080 PEDRA;7,51;540;7193
261090 PESQUEIRA;7,78;1929;24809
261100 PETROLANDIA;11,4;1594;13981
261110 PETROLINA;10,08;13625;135103
261120 POCAO;2,52;124;4921
261130 POMBOS;10,43;1034;9912
261140 PRIMAVERA;11,27;575;5100
261150 QUIPAPA;7,91;605;7653
261153 QUIXABA;3,47;82;2362
261160 RECIFE;12,21;91228;746856
261170 RIACHO DAS ALMAS;4,94;393;7951
261180 RIBEIRAO;15,35;2320;15112
261190 RIO FORMOSO;16,31;1259;7717
261200 SAIRE;4,8;201;4187
261210 SALGADINHO;20,04;555;2769
261220 SALGUEIRO;11,48;2654;23114
261230 SALOA;3,97;220;5539
261240 SANHARO;12,1;975;8058
261245 SANTA CRUZ;9,06;453;5000
261247 SANTA CRUZ DA BAIXA VERDE;5,45;270;4950
261250 SANTA CRUZ DO CAPIBARIBE;2,24;1084;48316
261255 SANTA FILOMENA;4,84;166;3428
261260 SANTA MARIA DA BOA VISTA;6,74;1149;17050
261270 SANTA MARIA DO CAMBUCA;1,89;109;5770
261280 SANTA TEREZINHA;17,52;717;4093
261290 SAO BENEDITO DO SUL;14,05;425;3024
261300 SAO BENTO DO UNA;6,74;1426;21170
261310 SAO CAITANO;5,37;833;15500
261320 SAO JOAO;4,69;421;8971
261330 SAO JOAQUIM DO MONTE;2,89;195;6756
261340 SAO JOSE DA COROA GRANDE;15,64;961;6145
261350 SAO JOSE DO BELMONTE;7,43;917;12349
261360 SAO JOSE DO EGITO;8,96;1236;13799
261370 SAO LOURENCO DA MATA;16,89;7091;41985
261380 SAO VICENTE FERRER;10,97;630;5742
261390 SERRA TALHADA;7,26;2579;35538
261400 SERRITA;6,69;410;6133
261410 SERTANIA;8,7;1006;11560
261420 SIRINHAEM;15,68;2235;14256
261430 MOREILANDIA;4,76;162;3400
261440 SOLIDAO;5,73;125;2180
261450 SURUBIM;6,91;1648;23860
261460 TABIRA;7,64;809;10588
261470 TACAIMBO;3,8;173;4557
261480 TACARATU;6,1;512;8396
261485 TAMANDARE;13,42;945;7044
261500 TAQUARITINGA DO NORTE;4,42;543;12273
261510 TEREZINHA;4,98;132;2650
261520 TERRA NOVA;10,16;321;3161
261530 TIMBAUBA;12,07;2501;20715
261540 TORITAMA;2,74;511;18616
261550 TRACUNHAEM;10,92;498;4561
261560 TRINDADE;8,51;808;9492
261570 TRIUNFO;4,3;280;6519
261580 TUPANATINGA;5,1;438;8589
261590 TUPARETAMA;5,62;197;3505
261600 VENTUROSA;7,66;506;6610
261610 VERDEJANTE;9,29;294;3166
261618 VERTENTE DO LERIO;3,22;81;2514
261620 VERTENTES;4,79;421;8788
261630 VICENCIA;15,24;1465;9610
261640 VITORIA DE SANTO ANTAO;12,51;6760;54053
261650 XEXEU;17,19;706;4106
270010 AGUA BRANCA;4,25;340;7992
270020 ANADIA;13,85;698;5041
270030 ARAPIRACA;8,47;7675;90621
270040 ATALAIA;14,97;1897;12675
270050 BARRA DE SANTO ANTONIO;12,45;565;4537
270060 BARRA DE SAO MIGUEL;6,85;224;3269
270070 BATALHA;9,11;583;6397
270080 BELEM;6,27;127;2026
270090 BELO MONTE;4,58;97;2118
270100 BOCA DA MATA;14,98;1311;8753
270110 BRANQUINHA;7,54;240;3184
270120 CACIMBINHAS;7,92;267;3371
270130 CAJUEIRO;14,63;810;5538
270135 CAMPESTRE;13,34;262;1964
270140 CAMPO ALEGRE;24,13;3152;13061
270150 CAMPO GRANDE;5,84;183;3135
270160 CANAPI;4,16;250;6004
270170 CAPELA;10,61;558;5261
270180 CARNEIROS;3,56;112;3146
270190 CHA PRETA;2,19;48;2191
270200 COITE DO NOIA;2,06;84;4086
270210 COLONIA LEOPOLDINA;10,77;658;6112
270220 COQUEIRO SECO;13,4;257;1918
270230 CORURIPE;10,75;2119;19719
270235 CRAIBAS;2,46;219;8900
270240 DELMIRO GOUVEIA;12,11;2174;17958
270250 DOIS RIACHOS;2,84;118;4159
270255 ESTRELA DE ALAGOAS;4,41;335;7599
270260 FEIRA GRANDE;2,83;241;8519
270270 FELIZ DESERTO;14,01;234;1670
270280 FLEXEIRAS;12,38;488;3943
270290 GIRAU DO PONCIANO;8,13;1134;13954
270300 IBATEGUARA;7,81;262;3355
270310 IGACI;5,42;527;9719
270320 IGREJA NOVA;4,87;348;7153
270330 INHAPI;3,86;207;5362
270340 JACARE DOS HOMENS;7,34;145;1975
270350 JACUIPE;10,35;238;2299
270360 JAPARATINGA;11,82;313;2648
270370 JARAMATAIA;8,54;178;2085
270375 JEQUIA DA PRAIA;11,19;394;3521
270380 JOAQUIM GOMES;6,61;439;6639
270390 JUNDIA;6,41;83;1295
270400 JUNQUEIRO;8,69;803;9236
270410 LAGOA DA CANOA;3,22;221;6863
270420 LIMOEIRO DE ANADIA;8,23;790;9594
270430 MACEIO;12,01;52375;436263
270440 MAJOR ISIDORO;7,39;520;7040
270450 MARAGOGI;7,78;788;10127
270460 MARAVILHA;6,48;270;4169
270470 MARECHAL DEODORO;11,55;2033;17598
270480 MARIBONDO;8,78;407;4637
270490 MAR VERMELHO;9,33;131;1404
270500 MATA GRANDE;1,62;144;8880
270510 MATRIZ DE CAMARAGIBE;16,31;1159;7107
270520 MESSIAS;17,89;843;4711
270530 MINADOR DO NEGRAO;7,27;146;2009
270540 MONTEIROPOLIS;14,19;349;2460
270550 MURICI;14,53;1069;7355
270560 NOVO LINO;9,53;343;3598
270570 OLHO D'AGUA DAS FLORES;6,97;568;8149
270580 OLHO D'AGUA DO CASADO;6,98;229;3279
270590 OLHO D'AGUA GRANDE;1,58;29;1830
270600 OLIVENCA;6,38;249;3903
270610 OURO BRANCO;6,85;272;3970
270620 PALESTINA;8,15;117;1436
270630 PALMEIRA DOS INDIOS;8,18;2214;27069
270640 PAO DE ACUCAR;8,31;656;7891
270642 PARICONHA;3,36;123;3661
270644 PARIPUEIRA;11,7;536;4582
270650 PASSO DE CAMARAGIBE;9,48;394;4155
270660 PAULO JACINTO;10,77;275;2554
270670 PENEDO;12,44;2842;22849
270680 PIACABUCU;13,43;737;5489
270690 PILAR;15,53;1754;11295
270700 PINDOBA;9,33;98;1050
270710 PIRANHAS;6,96;581;8351
270720 POCO DAS TRINCHEIRAS;6,13;258;4210
270730 PORTO CALVO;10,76;935;8689
270740 PORTO DE PEDRAS;4,67;140;3001
270750 PORTO REAL DO COLEGIO;13,59;847;6233
270760 QUEBRANGULO;5,32;195;3666
270770 RIO LARGO;16,63;4271;25688
270780 ROTEIRO;14,11;260;1843
270790 SANTA LUZIA DO NORTE;14,32;314;2192
270800 SANTANA DO IPANEMA;8,67;1482;17094
270810 SANTANA DO MUNDAU;6,73;235;3491
270820 SAO BRAS;7,05;145;2058
270830 SAO JOSE DA LAJE;10,01;721;7201
270840 SAO JOSE DA TAPERA;4,44;481;10825
270850 SAO LUIS DO QUITUNDE;12,55;1328;10585
270860 SAO MIGUEL DOS CAMPOS;20,23;4153;20527
270870 SAO MIGUEL DOS MILAGRES;11,72;303;2586
270880 SAO SEBASTIAO;9,81;1174;11971
270890 SATUBA;13,49;665;4930
270895 SENADOR RUI PALMEIRA;1,25;57;4575
270900 TANQUE D'ARCA;4,71;103;2185
270910 TAQUARANA;4,25;320;7532
270915 TEOTONIO VILELA;14,03;1783;12712
270920 TRAIPU;3,83;306;7983
270930 UNIAO DOS PALMARES;11,7;2366;20229
270940 VICOSA;16,78;1218;7257
280010 AMPARO DE SAO FRANCISCO;7,47;72;964
280020 AQUIDABA;9,62;727;7559
280030 ARACAJU;10,71;30013;280253
280040 ARAUA;6,95;290;4175
280050 AREIA BRANCA;9,53;660;6925
280060 BARRA DOS COQUEIROS;14,78;1447;9791
280067 BOQUIM;9,3;1015;10918
280070 BREJO GRANDE;11,62;347;2986
280100 CAMPO DO BRITO;3,75;283;7553
280110 CANHOBA;3,39;57;1680
280120 CANINDE DE SAO FRANCISCO;11,32;1058;9344
280130 CAPELA;14,84;1628;10968
280140 CARIRA;6,75;539;7991
280150 CARMOPOLIS;22,39;1215;5427
280160 CEDRO DE SAO JOAO;8,2;175;2134
280170 CRISTINAPOLIS;7,69;485;6307
280190 CUMBE;3,91;63;1611
280200 DIVINA PASTORA;12,81;211;1647
280210 ESTANCIA;14,07;3895;27676
280220 FEIRA NOVA;15,98;294;1840
280230 FREI PAULO;6,85;430;6277
280240 GARARU;4,45;165;3710
280250 GENERAL MAYNARD;21,24;247;1163
280260 GRACHO CARDOSO;6,99;144;2061
280270 ILHA DAS FLORES;10,09;231;2290
280280 INDIAROBA;5,37;324;6030
280290 ITABAIANA;5,45;2234;40954
280300 ITABAIANINHA;6,42;1025;15968
280310 ITABI;4,74;89;1876
280320 ITAPORANGA D'AJUDA;17,88;1991;11133
280330 JAPARATUBA;12,03;814;6765
280340 JAPOATA;7,76;381;4910
280350 LAGARTO;6,67;2902;43476
280360 LARANJEIRAS;18,18;1640;9020
280370 MACAMBIRA;3,66;102;2786
280380 MALHADA DOS BOIS;12,27;152;1239
280390 MALHADOR;3,59;198;5513
280400 MARUIM;18,12;1169;6452
280410 MOITA BONITA;2,19;121;5526
280420 MONTE ALEGRE DE SERGIPE;8,8;440;5000
280430 MURIBECA;8,83;242;2740
280440 NEOPOLIS;16,45;1055;6414
280445 NOSSA SENHORA APARECIDA;3,67;141;3838
280450 NOSSA SENHORA DA GLORIA;5,91;865;14629
280460 NOSSA SENHORA DAS DORES;8,8;854;9700
280470 NOSSA SENHORA DE LOURDES;5,76;136;2360
280480 NOSSA SENHORA DO SOCORRO;14,5;10274;70879
280490 PACATUBA;7,81;355;4546
280500 PEDRA MOLE;9,81;133;1356
280510 PEDRINHAS;6,6;250;3790
280520 PINHAO;5,54;142;2563
280530 PIRAMBU;9,51;336;3534
280540 POCO REDONDO;6,42;640;9973
280550 POCO VERDE;5,82;516;8873
280560 PORTO DA FOLHA;8,22;841;10226
280570 PROPRIA;10,62;1239;11665
280580 RIACHAO DO DANTAS;2,51;169;6742
280590 RIACHUELO;19,58;716;3657
280600 RIBEIROPOLIS;5,51;467;8475
280610 ROSARIO DO CATETE;16,94;616;3637
280620 SALGADO;7,61;629;8262
280630 SANTA LUZIA DO ITANHY;7,9;377;4770
280640 SANTANA DO SAO FRANCISCO;9,58;281;2932
280650 SANTA ROSA DE LIMA;9,8;113;1153
280660 SANTO AMARO DAS BROTAS;29,41;1334;4536
280670 SAO CRISTOVAO;13,12;4687;35712
280680 SAO DOMINGOS;4,88;246;5036
280690 SAO FRANCISCO;8,85;119;1344
280700 SAO MIGUEL DO ALEIXO;3,25;54;1663
280710 SIMAO DIAS;11;1809;16447
280720 SIRIRI;14,08;385;2735
280730 TELHA;9,95;92;925
280740 TOBIAS BARRETO;6,82;1507;22093
280750 TOMAR DO GERU;7,09;373;5263
280760 UMBAUBA;5,68;552;9721
290010 ABAIRA;7,85;276;3516
290020 ABARE;14,38;909;6323
290030 ACAJUTIBA;7,56;423;5598
290035 ADUSTINA;7,17;399;5567
290040 AGUA FRIA;8,61;557;6469
290050 ERICO CARDOSO;3,96;204;5151
290060 AIQUARA;10,51;207;1970
290070 ALAGOINHAS;13,25;8695;65638
290080 ALCOBACA;8,72;795;9122
290090 ALMADINA;13,98;283;2025
290100 AMARGOSA;11,25;1795;15953
290110 AMELIA RODRIGUES;16,71;1876;11225
290115 AMERICA DOURADA;20,56;1203;5850
290120 ANAGE;6,51;565;8682
290130 ANDARAI;17,01;864;5078
290135 ANDORINHA;5,69;355;6237
290140 ANGICAL;6,52;360;5525
290150 ANGUERA;13,62;527;3868
290160 ANTAS;10,71;641;5987
290170 ANTONIO CARDOSO;4,6;264;5736
290180 ANTONIO GONCALVES;6,34;292;4605
290190 APORA;3,93;281;7144
290195 APUAREMA;12;366;3050
290200 ARACATU;4,36;289;6635
290205 ARACAS;13,31;570;4282
290210 ARACI;6,71;1355;20197
290220 ARAMARI;17,21;621;3608
290225 ARATACA;6,3;246;3903
290230 ARATUIPE;7,32;285;3895
290240 AURELINO LEAL;10,05;514;5114
290250 BAIANOPOLIS;7,99;386;4833
290260 BAIXA GRANDE;7,15;589;8241
290265 BANZAE;4,81;221;4595
290270 BARRA;6,13;1058;17259
290280 BARRA DA ESTIVA;4,75;485;10217
290290 BARRA DO CHOCA;5,73;865;15105
290300 BARRA DO MENDES;11,39;623;5471
290310 BARRA DO ROCHA;9,8;236;2407
290320 BARREIRAS;9,16;6076;66299
290323 BARRO ALTO;3,87;247;6378
290327 BARROCAS;6,49;463;7139
290330 BARRO PRETO;11,74;282;2403
290340 BELMONTE;14,73;1286;8729
290350 BELO CAMPO;6,43;441;6860
290360 BIRITINGA;4,79;281;5870
290370 BOA NOVA;11,67;653;5594
290380 BOA VISTA DO TUPIM;13,28;854;6429
290390 BOM JESUS DA LAPA;11,33;2944;25981
290395 BOM JESUS DA SERRA;11,75;422;3592
290400 BONINAL;8,76;457;5216
290405 BONITO;7,08;489;6910
290410 BOQUIRA;10,22;854;8357
290420 BOTUPORA;5,19;268;5166
290430 BREJOES;14,62;801;5477
290440 BREJOLANDIA;14,06;516;3670
290450 BROTAS DE MACAUBAS;6,51;258;3962
290460 BRUMADO;9,44;2812;29787
290470 BUERAREMA;11,71;725;6190
290475 BURITIRAMA;9,43;678;7188
290480 CAATIBA;2,75;125;4546
290485 CABACEIRAS DO PARAGUACU;5,09;416;8170
290490 CACHOEIRA;11,61;1656;14260
290500 CACULE;5,11;558;10921
290510 CAEM;9,41;380;4039
290515 CAETANOS;11,1;443;3992
290520 CAETITE;6,82;1550;22732
290530 CAFARNAUM;4,94;309;6250
290540 CAIRU;8,8;607;6898
290550 CALDEIRAO GRANDE;9,45;517;5473
290560 CAMACAN;15,04;1677;11148
290570 CAMACARI;15,09;18498;122574
290580 CAMAMU;8,78;1276;14527
290590 CAMPO ALEGRE DE LOURDES;7,17;666;9290
290600 CAMPO FORMOSO;7,97;2287;28696
290610 CANAPOLIS;7,47;241;3228
290620 CANARANA;6,6;763;11557
290630 CANAVIEIRAS;11,75;1548;13173
290640 CANDEAL;5,39;219;4065
290650 CANDEIAS;17,9;6930;38711
290660 CANDIBA;5,44;329;6053
290670 CANDIDO SALES;10,07;1171;11633
290680 CANSANCAO;4,46;602;13496
290682 CANUDOS;6,63;416;6270
290685 CAPELA DO ALTO ALEGRE;6,16;314;5101
290687 CAPIM GROSSO;9,8;1269;12952
290689 CARAIBAS;6,52;247;3787
290690 CARAVELAS;13,59;1193;8781
290700 CARDEAL DA SILVA;23,97;740;3087
290710 CARINHANHA;8,04;896;11144
290720 CASA NOVA;7,54;1993;26448
290730 CASTRO ALVES;8,93;959;10744
290740 CATOLANDIA;3,74;35;937
290750 CATU;17,31;3654;21109
290755 CATURAMA;6,67;237;3554
290760 CENTRAL;10,18;676;6642
290770 CHORROCHO;7,35;276;3756
290780 CICERO DANTAS;5,61;788;14035
290790 CIPO;4,51;297;6592
290800 COARACI;12,33;899;7293
290810 COCOS;12,16;818;6728
290820 CONCEICAO DA FEIRA;17,65;1569;8892
290830 CONCEICAO DO ALMEIDA;24,63;1673;6792
290840 CONCEICAO DO COITE;6,42;1958;30518
290850 CONCEICAO DO JACUIPE;14,06;2062;14667
290860 CONDE;9,82;776;7905
290870 CONDEUBA;7,23;457;6317
290880 CONTENDAS DO SINCORA;10,61;217;2045
290890 CORACAO DE MARIA;9,28;946;10193
290900 CORDEIROS;8,36;257;3075
290910 CORIBE;8,93;469;5253
290920 CORONEL JOAO SA;3,88;263;6771
290930 CORRENTINA;6,86;738;10755
290940 COTEGIPE;10,01;519;5185
290950 CRAVOLANDIA;6,94;155;2233
290960 CRISOPOLIS;3,41;308;9036
290970 CRISTOPOLIS;6,72;298;4434
290980 CRUZ DAS ALMAS;15,53;4156;26757
290990 CURACA;8,9;1091;12259
291000 DARIO MEIRA;19,17;919;4795
291005 DIAS D'AVILA;18,89;5623;29773
291010 DOM BASILIO;4,2;208;4954
291020 DOM MACEDO COSTA;11,21;193;1721
291030 ELISIO MEDRADO;5,55;219;3948
291040 ENCRUZILHADA;7,51;674;8972
291050 ENTRE RIOS;15,25;2225;14590
291060 ESPLANADA;11,4;1488;13050
291070 EUCLIDES DA CUNHA;12,04;2891;24009
291072 EUNAPOLIS;10,77;5157;47875
291075 FATIMA;6,85;531;7756
291077 FEIRA DA MATA;6,87;145;2112
291080 FEIRA DE SANTANA;10,4;29728;285911
291085 FILADELFIA;13,35;825;6179
291090 FIRMINO ALVES;10,55;239;2265
291100 FLORESTA AZUL;12,96;426;3286
291110 FORMOSA DO RIO PRETO;12,99;1007;7755
291120 GANDU;8,78;1244;14167
291125 GAVIAO;8,27;181;2188
291130 GENTIO DO OURO;12,11;388;3204
291140 GLORIA;6,73;377;5600
291150 GONGOGI;15,03;477;3173
291160 GOVERNADOR MANGABEIRA;6;569;9490
291165 GUAJERU;4;192;4797
291170 GUANAMBI;7,37;2890;39218
291180 GUARATINGA;13,71;1225;8933
291185 HELIOPOLIS;5,72;343;5994
291190 IACU;11,63;1064;9148
291200 IBIASSUCE;5,92;302;5102
291210 IBICARAI;14,09;1256;8912
291220 IBICOARA;6,51;490;7523
291230 IBICUI;7,91;489;6179
291240 IBIPEBA;8,09;542;6703
291250 IBIPITANGA;12,32;608;4935
291260 IBIQUERA;9,4;159;1692
291270 IBIRAPITANGA;7,65;655;8557
291280 IBIRAPUA;8,1;284;3507
291290 IBIRATAIA;12,58;903;7180
291300 IBITIARA;4,5;224;4975
291310 IBITITA;7,44;541;7268
291320 IBOTIRAMA;8,89;960;10795
291330 ICHU;6,48;149;2298
291340 IGAPORA;15,1;983;6511
291345 IGRAPIUNA;5,52;316;5728
291350 IGUAI;11,61;1175;10122
291360 ILHEUS;12,26;10473;85452
291370 INHAMBUPE;9,15;1441;15743
291380 IPECAETA;10,56;663;6277
291390 IPIAU;14,75;2733;18523
