Município;Taxa_de_desemprego_16a_e+;População_desocupada_16a_e+;População_econom_ativa_16a_e+
241170 SAO BENTO DO TRAIRI;5,61;62;1106
241180 SAO FERNANDO;6,65;77;1158
241190 SAO FRANCISCO DO OESTE;8,26;132;1598
241200 SAO GONCALO DO AMARANTE;11,84;4422;37334
241210 SAO JOAO DO SABUGI;3,91;98;2505
241220 SAO JOSE DE MIPIBU;11,01;1546;14038
241230 SAO JOSE DO CAMPESTRE;8,4;364;4331
241240 SAO JOSE DO SERIDO;3,1;58;1872
241250 SAO MIGUEL;7,34;582;7931
241255 SAO MIGUEL DO GOSTOSO;7,33;249;3398
241260 SAO PAULO DO POTENGI;12,85;810;6304
241270 SAO PEDRO;11,56;222;1921
241280 SAO RAFAEL;9,05;251;2774
241290 SAO TOME;7,04;281;3992
241300 SAO VICENTE;2,69;54;2009
241310 SENADOR ELOI DE SOUZA;6,37;116;1820
241320 SENADOR GEORGINO AVELINO;11,48;138;1202
241330 SERRA DE SAO BENTO;10,93;237;2169
241335 SERRA DO MEL;9,83;429;4363
241340 SERRA NEGRA DO NORTE;2,59;79;3046
241350 SERRINHA;5,25;127;2421
241355 SERRINHA DOS PINTOS;7,86;114;1450
241360 SEVERIANO MELO;11;237;2155
241370 SITIO NOVO;9,74;147;1510
241380 TABOLEIRO GRANDE;7,31;61;835
241390 TAIPU;7,7;312;4050
241400 TANGARA;10,19;450;4417
241410 TENENTE ANANIAS;6,5;223;3431
241415 TENENTE LAURENTINO CRUZ;4,18;96;2297
241420 TIBAU DO SUL;7,78;342;4395
241430 TIMBAUBA DOS BATISTAS;2,66;29;1089
241440 TOUROS;6,82;850;12462
241445 TRIUNFO POTIGUAR;7,99;102;1277
241450 UMARIZAL;7,41;285;3844
241460 UPANEMA;7,14;304;4258
241470 VARZEA;10,93;199;1820
241475 VENHA-VER;13,81;197;1427
241480 VERA CRUZ;3,48;132;3791
241490 VICOSA;14,58;84;576
241500 VILA FLOR;18,9;214;1132
250010 AGUA BRANCA;4,34;141;3248
250020 AGUIAR;4,24;96;2262
250030 ALAGOA GRANDE;9,62;1039;10796
250040 ALAGOA NOVA;6,67;529;7935
250050 ALAGOINHA;6,52;339;5203
250053 ALCANTIL;3,2;63;1971
250057 ALGODAO DE JANDAIRA;6,96;59;848
250060 ALHANDRA;12,85;825;6421
