Município;1991;2000;2010;Total
350900 CAIEIRAS;6,34;21,05;9,28;12,94
350910 CAIUA;3,33;7,41;6,04;5,86
350920 CAJAMAR;7,14;22,66;8,54;13,25
350925 CAJATI;...;21,59;10,52;15,61
350930 CAJOBI;0,49;15,6;5;6,52
350940 CAJURU;1,3;11,6;4,3;5,84
350945 CAMPINA DO MONTE ALEGRE;...;14,64;9,32;11,99
350950 CAMPINAS;4,29;15,44;6,26;8,84
350960 CAMPO LIMPO PAULISTA;3,49;20,81;9,19;12,08
350970 CAMPOS DO JORDAO;2,37;9,78;3,84;5,52
350980 CAMPOS NOVOS PAULISTA;0,44;6,84;5,01;4,4
350990 CANANEIA;4,48;14,65;5,12;8,55
350995 CANAS;...;13,27;11,88;12,47
351000 CANDIDO MOTA;4,75;13,97;6,58;8,69
351010 CANDIDO RODRIGUES;1,95;6,73;2,11;3,63
351015 CANITAR;...;5,15;7,05;6,23
351020 CAPAO BONITO;2,84;19,61;7,89;9,96
351030 CAPELA DO ALTO;1,75;13,19;6,37;7,42
351040 CAPIVARI;1,81;10,15;5,4;6,07
351050 CARAGUATATUBA;2,69;17,97;7,14;10,12
351060 CARAPICUIBA;4,96;21,91;8,98;12,49
351070 CARDOSO;0,88;13,59;5,52;6,75
351080 CASA BRANCA;2,98;12,81;6,51;7,58
351090 CASSIA DOS COQUEIROS;0,54;1,69;3,79;2,15
351100 CASTILHO;3,13;19,68;7,15;9,83
351110 CATANDUVA;1,65;14,67;4,77;7,3
351120 CATIGUA;0,39;15,73;3,74;6,93
351130 CEDRAL;1,73;13,71;4,34;6,65
351140 CERQUEIRA CESAR;0,23;9,82;5,09;5,46
351150 CERQUILHO;4,67;10,36;4,4;6,34
351160 CESARIO LANGE;1,92;7,48;5;5,01
351170 CHARQUEADA;1,15;7,93;6,34;5,58
351190 CLEMENTINA;1,8;7,92;4,87;5,08
351200 COLINA;1,86;14,31;7,55;8,17
351210 COLOMBIA;3,02;11,41;7,91;7,82
351220 CONCHAL;0,94;10,21;4,73;5,55
351230 CONCHAS;1,42;8,95;6,23;6,08
351240 CORDEIROPOLIS;1,46;14,33;8,18;8,72
351250 COROADOS;0,7;7,85;4,48;4,28
351260 CORONEL MACEDO;1,28;6,54;7,8;5,26
351270 CORUMBATAI;1,27;10,75;4,2;5,89
351280 COSMOPOLIS;4,78;22,19;11,06;13,12
351290 COSMORAMA;2,64;7,06;3,34;4,34
351300 COTIA;4,87;20,17;7,74;11,2
351310 CRAVINHOS;1,77;11,79;4,74;6,56
351320 CRISTAIS PAULISTA;0,86;4,6;4,17;3,53
351330 CRUZALIA;4,25;17,86;5,32;8,5
351340 CRUZEIRO;6,25;20,8;10,22;12,79
351350 CUBATAO;6,41;24,24;13,1;15,35
351360 CUNHA;2,68;8,48;5,61;5,68
351370 DESCALVADO;1,04;14,23;7,02;7,83
351380 DIADEMA;7,62;21,79;9,44;13,24
351385 DIRCE REIS;...;5,58;5,65;5,62
351390 DIVINOLANDIA;0,41;3,34;3,03;2,37
351400 DOBRADA;7,01;20,57;9,21;12,35
351410 DOIS CORREGOS;2,91;8,94;3,66;5,28
351420 DOLCINOPOLIS;1,61;7,78;3,1;4,26
351430 DOURADO;0,67;9,02;5,09;5,13
351440 DRACENA;1,7;14,14;4,9;7
351450 DUARTINA;2,63;9,98;5,45;6,22
351460 DUMONT;0,95;8,73;7,31;6,38
351470 ECHAPORA;0,83;7,2;7,07;5,28
351480 ELDORADO;1,87;17,96;6,3;8,93
351490 ELIAS FAUSTO;1,95;12,93;5,46;7,1
351492 ELISIARIO;...;13,52;5,37;8,82
351495 EMBAUBA;...;22,9;3,71;12,68
351500 EMBU DAS ARTES;7,71;24,28;10,15;14,5
351510 EMBU-GUACU;5,41;20,73;9,02;12,56
351512 EMILIANOPOLIS;...;13,56;3,57;8,14
351515 ENGENHEIRO COELHO;...;6,84;5,68;6,09
351518 ESPIRITO SANTO DO PINHAL;2,53;9,34;5,9;6,1
351519 ESPIRITO SANTO DO TURVO;...;9,43;6,55;7,79
351520 ESTRELA D'OESTE;1,16;8,97;2,46;4,25
351530 ESTRELA DO NORTE;1,96;7,3;7,32;5,57
351535 EUCLIDES DA CUNHA PAULISTA;...;15,62;8,96;12,07
351540 FARTURA;4,47;8,35;2,89;5,19
351550 FERNANDOPOLIS;3,77;12,28;5,44;7,24
351560 FERNANDO PRESTES;1,93;8,24;3,88;4,77
351565 FERNAO;...;5,78;3,85;4,72
351570 FERRAZ DE VASCONCELOS;6,01;23,49;9,68;13,72
351580 FLORA RICA;3,31;8,53;8,02;6,59
351590 FLOREAL;2,45;10,73;2,97;5,53
351600 FLORIDA PAULISTA;3,31;8,07;6,15;5,78
351610 FLORINIA;1,55;16,24;11,72;9,93
351620 FRANCA;2,25;7,91;5,04;5,33
351630 FRANCISCO MORATO;7,27;23,33;9,39;13,95
351640 FRANCO DA ROCHA;8,2;26;9,45;14,64
351650 GABRIEL MONTEIRO;-;5,51;5,72;4,02
351660 GALIA;1,23;13,78;9,65;7,91
351670 GARCA;2,36;11,81;6,28;7,06
351680 GASTAO VIDIGAL;1,77;8,37;4,44;4,92
351685 GAVIAO PEIXOTO;...;9,42;7,11;8,12
351690 GENERAL SALGADO;3,27;9,83;5,14;5,93
351700 GETULINA;0,58;15,09;6,81;7,56
351710 GLICERIO;2,28;13,89;2,7;6,39
351720 GUAICARA;1,03;11,44;8,28;8,05
351730 GUAIMBE;2,16;15,17;8,63;8,94
351740 GUAIRA;1,59;14,66;6,83;8,15
351750 GUAPIACU;1,57;9,81;6,85;6,65
